abstract,authors,n_citation,references,title,venue,year,id
"The complexity of real world image categorization and scene analysis requires compositional strategies for object representation. This contribution establishes a compositional hierarchy by first performing a perceptual bottom-up grouping of edge pixels to generate salient contour curves. A subsequent recursive top-down grouping yields a hierarchy of compositions. All entities in the compositional hierarchy are incorporated in a Bayesian network that couples them together by means of a shape model. The probabilistic model underlying top-down grouping as well as the shape model is learned automatically from a set of training images for the given categories. As a consequence, compositionality simplifies the learning of complex category models by building them from simple, frequently used compositions. The architecture is evaluated on the highly challenging Caltech 101 database1 which exhibits large intra-category variations. The proposed compositional approach shows competitive retrieval rates in the range of 53 .0 ± 0 .49%.","['Björn Ommer', 'Michael Sauter', 'Joachim M. Buhmann']",17,"['22f6ff91-c69f-41ff-aa00-678ece27f158', '32dee8bc-22e3-4db9-af2f-0b0c492a2da7', '36c123f1-9ad9-4a10-81fa-2abbead066d4', '3843d2db-d96f-47be-8ece-fa9c1e87d1bc', '4976809f-cda9-4031-8c9c-b200456ef2d7', '5ea6e082-6427-4ac3-ac85-95f9232c8213', '81eec382-cc0a-4381-91df-a90054925734', '9f84e529-87a3-42f1-9d63-9af710f40925', 'b944f77f-113b-4a02-ae5e-d4a124b8fd5b', 'c32b12e9-a542-458d-8611-4a22e5193730', 'c9482f1f-6600-44a7-a69a-e63ef13cdff8', 'ccdefe89-9b16-4c22-8bb8-bd314ccad6e1', 'd4d98193-fa86-445e-a140-959c646323a7', 'fae341e4-d131-4b58-b684-be6f91a75d9c', 'ffa029cf-7240-4723-8339-51fac57f9f28']",Learning Top-Down Grouping of Compositional Hierarchies for Recognition,computer vision and pattern recognition,2006,4ad28394-6c8d-4dd3-b7ba-da9ebb071b61
"Microprocessor trends are moving towards wider architectures and more aggressive speculation. With the increasing transistor budgets, energy consumption has become a critical design constraint. To address this problem, several researchers have proposed and evaluated energy-efficient variants of speculation mechanisms. However, such hardware is typically evaluated in isolation and its impact on the energy consumption of the rest of the processor, for example, due to wrong-path executions, is ignored. Moreover, the available metrics that would provide a thorough evaluation of an architectural optimization employ somewhat complicated formulas with hard-to-measure parametersIn this paper, we introduce a simple method to accurately compare the energy-efficiency of speculative architectures. Our metric is based on runtime analysis of the entire processor chip and thus captures the energy consumption due to the positive as well as the negative activities that arise from the speculation activities. We demonstrate the usefulness of our metric on the example of value speculation, where we found some proposed value predictors, including low-power designs, not to be energy-efficient","['Nana B. Sam', 'Martin Burtscher']",6,"['00f223e1-6505-4561-929b-580e3b48d465', '0280471b-b350-4c92-b92c-9821e7d5b16e', '02e60812-0056-40fb-8a06-113ffcfebc82', '08cde966-8d15-47ca-a9b9-aa04dd4a4388', '2b2fb176-73b8-440a-9418-39239d71197f', '383a3acb-f1c0-43bd-8000-4f87d7e1a098', '38e27e2d-cab0-454e-8ac0-b9cc428f0e96', '3cf1d0f9-cf88-4252-9541-36ffbe0ac308', '54a293eb-8a7a-431b-98b6-1d93573f70ac', '5b43d88a-fa5e-4592-87ce-4ece33632772', '713f42fc-e172-4242-b4c8-a6eba1f99bf5', '7d9ea8ad-016f-485b-9272-e10fd522a5a3', '84f38277-cf2e-4362-b807-4208af039806', '8a6d10b5-7c01-419e-89e8-2ac68a0ed91d', 'a7061c0f-e839-4bff-a393-fc052d632c95', 'a7a032e7-5152-4219-b515-352e8607db6f', 'c11ea1c5-ab9a-406f-bce1-02b46ee2a706', 'e07e70a3-5efd-47db-981a-11794fe1a90e', 'ebcf86b0-5a94-41e5-9186-104f3a2c5adf']",On the energy-efficiency of speculative hardware,,2005,4ad2a7e8-8c64-4114-8f33-ce567ca49435
"Several strategies, known as clutter or wall Doppler filtering, were proposed to remove the strong echoes produced by stationary or slow moving tissue structures from the Doppler blood flow signal. In this study, the matching pursuit (MP) method is proposed to remove clutter components. The MP method decomposes the Doppler signal into wavelet atoms that are selected in a decreasing energy order. Thus, the high-energy clutter components are extracted first. In the present study, the pulsatile Doppler signal s(n) was simulated by a sum of random-phase sinusoids. Two types of high-amplitude clutter signals were then superimposed on s(n): time-varying low-frequency components, covering systole and early diastole, and short transient clutter signals, distributed within the whole cardiac cycle. The Doppler signals were modeled with the MP method and the most dominant atoms were subtracted from the time-domain signal s(n) until the signal-to-clutter (S/C) ratio reached a maximum. For the low-frequency clutter signal, the improvement in S/C ratio was 19.0 /spl plusmn/ 0.6 dB, and 72.0 /spl plusmn/ 4.5 atoms were required to reach this performance. For the transient clutter signal, ten atoms were required and the maximum improvement in S/C ratio was 5.5 /spl plusmn/ 0.5 dB. The performance of the MP method was also tested on real data recorded over the common carotid artery of a normal subject. Removing 15 atoms significantly improved the appearance of the Doppler sonogram contaminated with low-frequency clutter. Many more atoms (over 200) were required to remove transient clutter components. These results suggest the possibility of using this signal processing approach to implement clutter rejection filters on ultrasound commercial instruments.","['Guy Cloutier', 'Danmin Chen', 'Louis-Gilles Durand']",40,"['99c1f51c-71ab-4007-a0aa-1f8f834ab2fc', 'bb3c38fa-c2b0-4d4f-8c9d-ca1884343474']",A new clutter rejection algorithm for Doppler ultrasound,IEEE Transactions on Medical Imaging,2003,4ad2c7b1-871a-4c9a-95e8-b0201c362a6d
"This review focuses on dynamic causal analysis of functional magnetic resonance (fMRI) data to infer brain connectivity from a time series analysis and dynamical systems perspective. Causal influence is expressed in the Wiener-Akaike-Granger-Schweder (WAGS) tradition and dynamical systems are treated in a state space modeling framework. The nature of the fMRI signal is reviewed with emphasis on the involved neuronal, physiological and physical processes and their modeling as dynamical systems. In this context, two streams of development in modeling causal brain connectivity using fMRI are discussed: time series approaches to causality in a discrete time tradition and dynamic systems and control theory approaches in a continuous time tradition. This review closes with discussion of ongoing work and future perspectives on the integration of the two approaches.","['Alard Roebroeck', 'Anil K. Seth', 'Pedro Valdes-Sosa']",50,"['00175a5d-0003-474e-83d1-1cab1e42f5d3', '014d0415-5a67-401a-ba59-2a7ed1090184', '04ec089d-63ec-4907-ba54-58b67bab145b', '0b374876-60d3-4ffa-a85c-fe6146518020', '1b6af591-1627-454d-ad98-b096217783b1', '23fa3c3f-4d83-495c-8613-b05319987340', '2b9bd73e-066f-48af-a103-6043816b112e', '2d6acbe1-a36e-4bb9-b53e-e11d99e3c3b7', '341ccf93-7985-4aae-84a9-5aa004a30456', '3ca478a3-5a4f-41df-944b-31df2e9d09e3', '440ab2d5-3af6-4a67-9ddb-d1a7b6693063', '7445101b-a038-43c8-84f3-7d5878bae3a3', '7e06990d-1d8d-4d38-b0a7-f581eaba15f7', '90909eed-813e-4227-824f-29d3b75cf376', '96012c90-04e8-402a-8d37-2c213d090b85', 'a6a50836-73c3-4e8a-8bf1-4a415fe2e747', 'a73b3754-b568-4ece-926c-54625c617e42', 'b1de2878-4fa6-44bc-bd60-5b90bd1d6ce1', 'dd82658a-b8a0-40da-a3f0-17cfaabf431c', 'de68a3f2-62e9-4952-a9b9-d0dfb1f383ee', 'e3a35ff7-b387-49b0-8fbd-e7d56efb4715', 'f42bbe8b-b645-4c2a-8745-b6fc53ba2b47']",Causal time series analysis of functional magnetic resonance imaging data,neural information processing systems,2009,4ad2c9d3-a0cb-4065-a291-7780d1a335fd
"we present a medium access control (MAC) protocol for ad hoc networks with multiple input multiple output (MIMO) links. MIMO links provide extremely high spectral efficiencies in multipath channels by simultaneously transmitting multiple independent data streams in the same channel. MAC protocols have been proposed in related work for ad hoc networks with other classes of smart antennas such as switched beam antennas. However, as we substantiate in the paper, the unique characteristics of MIMO links coupled with several key optimization considerations, necessitate an entirely new MAC protocol. We identify several advantages of MIMO links, and discuss key optimization considerations that can help in realizing an effective MAC protocol for such an environment. We present a centralized algorithm called stream-controlled medium access (SCMA) that has the key optimization considerations incorporated in its design. Finally, we present a distributed SCMA protocol that approximates the centralized algorithm and compare its performance against that of baseline protocols that are CSMA/CA variants.","['Karthikeyan Sundaresan', 'Raghupathy Sivakumar', 'Mary Ann Ingram', 'Tae-Young Chang']",228,"['08dfd689-8a5b-453b-a5f6-a6b79a8be8c6', '10f58ff9-c14e-4bf5-9c44-0a3f14626d3f', '164a7293-cfe6-4167-ab36-a21ca408c1c5', '2826be57-107e-4ed1-ba88-01f0f1015668', '2e79dfe4-1842-4ff9-8ef9-31f82a5239b6', '32591c3e-f867-4910-91ec-ce8d8113767a', '70900ce7-fd5e-4779-a73d-8bdc42cfb3ff', '720f59d2-acc3-4d5a-91c2-258d137d9647', '786aaee0-9f07-40db-8178-6b47ec53553e', '8cc9ea80-563f-4e62-bda9-8ff6d71cf6ae', 'ccabb476-c38d-4867-bf93-60f1abe6e95b', 'd158cc4a-309b-4425-82b1-4f7f336c5c42', 'd9dbc407-897e-43dd-9999-5e351514bac0', 'eda6295a-5fd9-4e9b-af93-69c8726bf886', 'f180594d-7f0a-472d-96ac-e9f379380870', 'fb2003f6-ed7b-424e-94b2-6b150f8e7302']",Medium access control in ad hoc networks with MIMO links: optimization considerations and algorithms,IEEE Transactions on Mobile Computing,2004,4ad2cd00-4194-4c5e-92dc-606fd58d8fe1
"Due to the enormous spreading of applied wireless networks, security is actually one of the most important issues for telecommunications. One of the main issue in the field of securing wireless information exchanging is the initial common knowledge between source and destination. A shared secret is normally mandatory in order to decide the encryption (algorithm or code or key) of the information stream. It is usual to exchange this common a priori knowledge by using a ""secure"" channel. Now a days a secure wireless channel is not possible. In fact normally the common a priori knowledge is already established (but this is not secure) or by using a non-radio channel (that implies a waste of time and resource). This contribution deals with the proposal of a new modulation technique ensuring secure communication in a full wireless environment. The information is modulated, at physical layer, by the thermal noise experienced by the link between two terminals. A loop scheme is designed for unique recovering of mutual information. The probability of error/detection is analytically derived for the legal users and for the third unwanted listener. The proposed scheme has also been implemented in a Xilinx Virtex II FPGA.#R##N##R##N#All the results show that the performance of the proposed scheme yields the advantage of intrinsic security, i.e., the mutual information cannot be physically demodulated (passive attack) or denied (active attack) by a third terminal, leading us to conclude that the proposed technique is really useful for private key distribution in every wireless network.","['Lorenzo Mucchi', 'Luca Simone Ronga', 'E. Del Re']",1,"['2586640c-06df-4c86-b588-9adbbfaeca93', '78a2c25e-1691-420a-abe2-7acfe52538da', 'a197f028-a9c8-472e-9603-a4dc96b8b447', 'a6d4ab3e-4d73-47ee-b811-e365bae1f004']",Design and Implementation of Physical Layer Private Key Setting for Wireless Networks,international conference on communications,2009,4ad2db4c-59a4-4844-ad28-c366b3c2e98c
"Undersea warfare relies heavily on acoustic means to detect a submerged vessel. The frequency of the acoustic signal radiated by the vessel is typically very low, thus requires a large array aperture to achieve acceptable angular resolution. In this paper, we present a novel approach for low-frequency direction-of-arrival (DOA) estimation using miniature circular vector-sensor array mounted on the perimeter of a cylinder. Under this approach, we conduct beamforming using decomposition in the acoustic mode domain rather than frequency domain, to avoid the long wavelength constraints. We first introduce a multi-layer acoustic gradient scattering model to provide a guideline and performance predication tool for the mode beamformer design and algorithm. We optimize the array gain and frequency response with this model. We further develop the adaptive DOA estimation algorithm based on this model. We formulate the Capon spectra of the mode beamformer which is independent of the frequency band after the mode decomposition. Numerical simulations are conducted to quantify the performance and evaluate the theoretical results developed in this study.","['Nan Zou', 'Arye Nehorai']",43,['979f744f-c4f5-4ed1-9030-b7975b49004f'],Circular Acoustic Vector-Sensor Array for Mode Beamforming,IEEE Transactions on Signal Processing,2009,4ad2e001-39fc-4327-a2d6-a12ed8b0c10e
"We study the expressive power of variants of KLAIM, an experimental language with programming primitives for network-aware programming that combines the process algebra approach with the coordination-oriented one. KLAIM has proved to be suitable for programming a wide range of distributed applications with agents and code mobility, and has been implemented on the top of a runtime system written in Java. In this paper, the expressivity of its constructs is tested by distilling from it a few, more and more foundational, languages and by studying the encoding of each of them into a simpler one. The expressive power of the considered calculi is finally tested by comparing one of them with asynchronous π-calculus.","['Rocco De Nicola', 'Daniele Gorla', 'Rosario Pugliese']",50,"['0fb03c90-51f3-4a1e-ad85-ef7821343e77', '1bfa6fdf-f282-4cbe-ab08-e61da2c71a7f', '278b9138-6506-4e87-84b3-138fa507f90a', '4e9a04f1-f844-467a-97a6-5999f6ee39bc', '6f45828a-82d4-4306-bc4f-f7fb31d4298e', '7b6309ce-21c9-4927-9a68-78fb55ecbe56', '822f0350-61bc-444a-a148-8f5ed5889474', '86cda7ee-871e-46ba-93c1-816263c748e9', '950d0926-c0ec-4615-857e-1efc855a4e58', '95def5a3-6cbe-4cad-8dcb-1adafc4fcd34', 'ab075751-a292-4a92-952e-a8da096e1981', 'af1e1aba-4b5a-4900-9343-4123f53005c1', 'b045bfb2-97ef-4df8-a1f0-8f22bb827843', 'bd49fd8d-db74-4c2f-b2e8-19951921f5ce', 'cbe5c669-7467-4deb-8550-bfac81d1ce86', 'db4e226a-5dd9-44d4-bac3-3ba3594ca4d7', 'db74da93-6b92-4965-93bc-7f195afccc42', 'ddd80f74-d275-480d-896e-7e357d0e152c', 'e7eb427f-6500-472d-83e8-9465bc18d637', 'eaaea763-7841-40cd-b386-aa0c88a4efc8', 'eae7ccde-64d8-42e3-a41e-2319323d1d27']",On the expressive power of KLAIM-based calculi,Theoretical Computer Science,2006,4ad2f376-b2c7-4527-b2e3-218062837043
"In this paper, we propose a fast algorithm for principal component analysis (PCA) dealing with large high-dimensional data sets. A large data set is firstly divided into several small data sets. Then, the traditional PCA method is applied on each small data set and several eigenspace models are obtained, where each eigenspace model is computed from a small data set. At last, these eigenspace models are merged into one eigenspace model which contains the PCA result of the original data set. Experiments on the FERET data set show that this algorithm is much faster than the traditional PCA method, while the principal components and the reconstruction errors are almost the same as that given by the traditional method.","['Liang Liu', 'Yunhong Wang', 'Qian Wang', 'Tieniu Tan']",50,"['48be5984-89df-484f-8c4c-a610e98b9e87', '79091b41-1e28-435a-ab88-d9d6143f56df', 'ef2656ac-3917-4410-9da4-1da6953f0563', 'f7575c9a-3a18-43b9-8b44-554c7d177af0']",Fast Principal Component Analysis using Eigenspace Merging,international conference on image processing,2007,4ad2fec3-fd25-4673-adce-031526123649
"As the High Performance Computing industry moves towards the exascale era of computing, parallel scientific and engineering applications are becoming increasingly complex. The use of simulation allows us to predict how an application's performance will change with the adoption of new hardware or software, helping to inform procurement decisions. In this paper, we present a disk simulator designed to predict the performance of read and write operations to a single hard disk drive (HDD). Our simulator uses a geometry discovery benchmark (Diskovery) in order to estimate the data layout of the HDD, as well as the time spent moving the read/write head. We validate our simulator against two different HDDs, using a benchmark designed to simulate common disk read and write patterns, demonstrating accuracy to within 5% of the observed I/O time for sequential operations, and to within 10% of the observed time for seek-heavy workloads.","['Steven A. Wright', 'Simon J. Pennycook', 'Stephen A. Jarvis']",50,"['156d4e6c-23fa-4549-b681-f8761105ab58', '1b98a820-1eca-4252-ac6d-89a655f446a2', '2f1a7599-80ce-4d16-a0e9-56ca44fafa20', '3dda42fb-7683-495e-8baf-4fc33b053f17', '46640bcf-3c8c-466a-ab04-f5158acc4d57', '4786d7e2-089a-430c-9a9d-c59b76664514', '575be0a6-1001-49a0-ba4f-ec4c7a11298a', '5fbc22f8-7fe9-4cac-a272-0b79136c8f2e', '632e87d0-9507-44f2-8b9b-0623b14e3704', '7190892e-3406-4753-81f7-16a44ed250ca', '7853ec59-161c-4a18-a36f-1fa4f3a97a86', '986248f2-9d6b-4ec0-9c0c-499a0f7f6651', 'a9991230-d3e4-425f-9f6e-9360060dfc0c', 'af5af257-471b-48de-87ac-f775bd05d4db', 'b5a786d1-bfe0-4d9a-ad49-617448c10394', 'bf3655ac-1b29-45fb-81bc-857adf6b6747', 'c88e34ec-e4f6-4549-b2bf-a193ca93cfa7', 'd9250eee-031a-4d86-9be6-31f98773e868', 'f88e2ddd-2a35-43fa-bcbe-99a71b556c0d']",Towards the Automated Generation of Hard Disk Models through Physical Geometry Discovery,ieee international conference on high performance computing data and analytics,2012,4ad37760-df3a-44cc-a887-f4456cad1170
"In this paper, we presents a new binarization approach to extract text pixels from complex background in video frames. The binarization computation is a crucial step for, video text recognition, which can greatly increase the recognition, accuracy of an OCR software. The proposed approach consists, of four phases. First, the text polarity is determined, i.e. light text with dark background or dark text with light background., Then the pixels in the given image are clustered into K clusters, using the K-means algorithm in the RGB color space and the, text cluster is selected based on the text polarity. Further, the, MRF Model is exploited to get the binarization result. Finally, the, result is further refined by the Log-Gabor filter. The Experimental, results on a large dataset show that the significant gains have been, obtained according to the segmentation performance on the pixel, level as well as the OCR accuracy.","['Zhike Zhang', 'Weiqiang Wang']",50,"['1e2ee3dc-cba3-4082-9fdd-fc8a40a90e86', '1ea897e6-8816-43f5-9ba8-4e61906f2e61', '1eaa29d9-d1d9-4e72-929c-bca67a86a675', '3a8fbc53-3805-4e6f-9f45-6881b640eb5e', '3e991226-1dd2-4ec8-975b-00cac454293b', '3f811271-4ed4-437d-be4f-eec976f95bf1', '45a25f0c-8d0a-4d85-a861-c4ba1ec581b7', '66efdc14-cf52-45a9-ba45-6be2d40031db', '781bfbc2-484d-4747-8652-a6c4ead82151', '791396ae-349d-4dea-a398-4bd8155c07d4', '7ddfc32c-ff3b-45e6-8b6a-0e011306b923', '8d705c5b-47f9-4aae-be2b-bb3e234a5db6', 'b2885e5c-a3a2-4575-8cbd-86e3fe12971e', 'd9ef7718-6365-4831-9cb8-65018d5a3347', 'db1a1a43-c237-4f07-8886-d708bb89f5d2', 'dcb6c7c4-2dd4-49af-be63-5f7451bbffef', 'e56872f7-04c0-4be7-a08d-1062f60d0c34', 'e748d2b7-9ebe-4729-b1e4-4f6f2c7d8970', 'ffb0a417-24b8-423c-ae99-c5b4c073bbdf']",A Novel Approach for Binarization of Overlay Text,"systems, man and cybernetics",2013,4ad3a7b2-d598-4521-a19f-a56a000480b1
"JPEG2000 is a new international standard for still image compression. It provides various functions in one single coding stream and the better compression quality than the traditional JPEG, especially in the high compression ratio. However, the heavy computation and large internal memory requirement still restrict the consumer electronics applications. In this paper, we propose a QCB (quad code block)-based DWT method to achieve the higher parallelism than the traditional DWT approach of JPEG2000 coding process. Based on the QCB-based DWT engine, three code blocks can be completely generated after every fixed time slice recursively. Thus, the DWT and EBCOT processors can process simultaneously and the high computational EBCOT then has the higher parallelism of the JPEG2000 encoding system. By changing the output timing of the DWT process and parallelizing with EBCOT, the internal tile memory size can be reduced by a factor of 4. The memory access cycles between the internal tile memory and the code block memory also decrease with the smooth encoding flow.","['Bing-Fei Wu', 'Chung-Fu Lin']",50,"['01685c08-98ef-445b-ad28-3d3f879e8de0', '12d7ef3b-e9fd-44c3-b997-3ab93057ff52', '176cd61b-0e18-4829-9fee-aae709de290a', '1bfd7038-5ce6-4ef5-afed-4d047bc2ac80', '2cb5da59-9fb5-48be-a540-01ce19c883bd', '341880c4-4239-45b0-9ba8-6d173bac1f24', '37708b6d-80cd-4d60-bc32-9255c830032a', '3c6e6000-5abb-4b8b-a807-fff2821f2012', '4e726ea7-ac6c-48d3-92c8-34f649160a94', '54c02492-a327-4b48-8f1f-4b5b84315704', '55059c66-b1f8-4ec3-83cc-d86e0ce3d937', '5976a700-7757-4fd1-8c67-e40967b442db', '5be16126-0bbc-401a-81ea-aabe5da46ad9', '6888b12c-2a23-4f29-b268-cd2ea9264fed', '883e4392-5a4b-4cc5-bd6f-ac607f048c83', '923dabe3-d97e-4e5c-bead-b52dccb0d455', 'b439c305-4aa5-4e0b-badd-18891f0ddbf0', 'b7e01b83-e270-40cd-91b0-9a4e02dde612', 'c8c55475-2750-431a-9ee4-fa3540258c6f', 'cd09ef4f-edd4-4134-8b93-9535d190e329', 'e1a6e9b1-72c0-490b-add8-1b4a0480ebf3', 'e947bd0f-55db-4188-92b1-7de45056468f', 'eeb48485-3636-4b5a-9a77-b8cef76633b2']",An efficient architecture for JPEG2000 coprocessor,IEEE Transactions on Consumer Electronics,2004,4ad3a94c-5312-40c4-bcf5-8791287832c1
"Peer to Peer networks are the leading cause for music piracy but also used for music sampling prior to purchase. In this paper we investigate the relations between music file sharing and sales (both physical and digital)using large Peer-to-Peer query database information. We compare file sharing information on songs to their popularity on the Billboard Hot 100 and the Billboard Digital Songs charts, and show that popularity trends of songs on the Billboard have very strong correlation (0.88-0.89) to their popularity on a Peer-to-Peer network. We then show how this correlation can be utilized by common data mining algorithms to predict a song's success in the Billboard in advance, using Peer-to-Peer information.","['Noam Koenigstein', 'Yuval Shavitt', 'Noa Zilberman']",18,"['0f171ce6-8711-4cf8-a24b-31cba84c2b97', '1655bc99-8f98-4071-ae85-53ef5c565503', '71a6f5f1-b36a-45ab-8fe7-8b738d0eee45', 'b4119b4d-64b8-4e0c-9c70-d04943bf4dbf', 'c57ef04a-a44b-4356-9f53-54fa7e23e448', 'e33531d8-6b37-46ce-904d-0b1d1cf68ad5']",Predicting Billboard Success Using Data-Mining in P2P Networks,international symposium on multimedia,2009,4ad3cd30-9bc4-41d4-8e8c-06fce75d470d
"Common people that are apparently randomly selected by journalists to illustrate a news story (popular exemplars) have a substantial effect on what the audience think about the issue. This effect may be partly due to the mere fact that popular exemplars attract attention and act as attention commanders just like many other speaking sources in the news. Yet, popular exemplars’ effects extend well beyond that of other talking sources. Due to their similarity, trustworthiness, and the vividness of their account, popular exemplars have significantly more impact than experts that are being interviewed or, in particular, than politicians that are quoted in the news. We show this drawing on an internet-based experiment that uses fake television news items as stimuli and that systematically compares the effect of these talking sources in the news. We also find that taking into account preexisting attitudes changes the findings substantially. The effects are more robust and yield a more nuanced picture of what typ...","['Jonas Lefevere', 'Knut De Swert', 'Stefaan Walgrave']",57,[],Effects of Popular Exemplars in Television News,Communication Research,2012,4ad3fa8d-35de-4686-9749-d111693793cf
We derive an explicit expression for the covariance of the log-periodogram power spectral density estimator for a zero mean Gaussian process. We do not make the assumption that the spectral components of the process are uncorrelated. Applications to spectral estimation and to cepstral modeling in automatic speech recognition are discussed.,"['Yariv Ephraim', 'William J. Roberts']",5,"['26d37393-6e59-4423-a935-860b5a76f1f6', '46ab9c8f-023b-4538-80ac-0951ba8cac57', 'c4e9ef81-98e4-4bfb-9544-fdb6e453ef56', 'd20181af-ab1f-4fa0-8f2e-4a8a03d6753f']",On second-order statistics of log-periodogram with correlated components,IEEE Signal Processing Letters,2005,4ad40850-9dde-43e5-a796-fc06aeafcc04
"We derive the maximum mutual information for an additive exponential noise (AEN) channel with a peak input constraint. We find that the optimizing input density is mixed (with singularities) similar to previous results for AEN channels with a mean input constraint. Likewise, the maximum mutual information takes a similar form, though obviously the maximum for the peak constraint is smaller than for the corresponding mean-constrained channel. This model is inspired by multiple biological phenomena and processes which can be abstracted as follows: inscribed matter is sent by an emitter, moves through a medium, and arrives eventually at its destination receptor. The inscribed matter can convey information in a variety of ways such as the number of signaling quanta - molecules, macromolecular complexes, organelles, cells and tissues - that are emitted as well as the detailed pattern of their release. However, rather than focus on a general class of emitter-receptor systems or a particular exemplar of biomedical importance, our ultimate goal is to provide bounds on the potential efficacy of timed-release signaling for any system which emits identical signaling quanta. That is, we seek to apply one of the most potent aspects of information theory to biological signaling - mechanism blindness - in the hopes of gaining insights applicable to diverse systems that span a wide range of spatiotemporal scales.","['Yl Tsai', 'Christopher Rose', 'Ruochen Song', 'I. Saira Mian']",15,"['04bb2898-3931-4f34-81de-745c023da4db', '44d0a7bb-df88-476c-9bd9-7cea1132e3cf', '456caf5d-b674-4647-bfae-ba298bbc3679', '55771d6f-ebdf-4f38-b756-54b5a08126bd', 'b9ea8c6b-43d1-4a94-9271-c30cfb815c2e']",An additive exponential noise channel with a transmission deadline,international symposium on information theory,2011,4ad4157b-1fa2-43c2-862e-fac04e170412
"This work provides an exhaustive search algorithm for finding small fully absorbing sets (FASs) of arbitrary low-density parity-check (LDPC) codes. In particular, given any LDPC code, the problem of finding all FASs of size less than t is formulated as an integer programming problem, for which a new branch-&-bound algorithm is devised. New node selection and the tree-trimming mechanisms are designed to further enhance the efficiency of the algorithm. The proposed algorithm is capable of finding all FASs of size ≤ 11 with no larger than 2 induced odd-degree check nodes for LDPC codes of length ≤ 1000. The resulting exhaustive list of small FASs is then used to devise a new post-processing decoder. Numerical results show that by taking advantage of the exhaustive list of small FASs, the proposed decoder significantly lowers the error floor for codes of practical lengths and outperforms the state-of-the-art low-error-floor decoders.","['Gyu Bum Kyung', 'Chih-Chun Wang']",50,"['01cb1b96-89ea-41a1-8a44-a876b7bf9cb1', '2382b6ec-c5f7-4655-9b17-9ba1b193ba03', '32e684e6-bc85-4118-adeb-d66ad3b71fa1', '7bd0fbc8-ec95-4581-94c5-0cbee4ef0f97', '7d453434-e999-4763-a5f8-c07028fa544a', '821be1db-e869-4a1e-a0cc-726270b44dde', '9d9e836c-53df-4445-87da-a4b51a455629', 'bbd7478d-6920-422b-ba90-16d83e744a67', 'bdd64d49-6769-4736-bdad-f9d6b151def6', 'bfc24cd3-1bac-4e5a-94ac-d552a7d36929', 'cbce2caa-2d24-4c1d-bb08-9437308ce5bc', 'd0f2dc64-acd5-471f-8e7d-9dadff7e18e3', 'd8655a74-80cc-4554-95fd-cad0d74f8c9b', 'fba7f906-a615-40bf-b314-3f0d943d1a99']",Exhaustive search for small fully absorbing sets and the corresponding low error-floor decoder,international symposium on information theory,2010,4ad41b00-afce-4b0c-b42d-cefd1abc73d2
"Support vector machine (SVM) is a classification method based on the structured risk minimization principle. Penalize, C; and kernel, @s parameters of SVM must be carefully selected in establishing an efficient SVM model. These parameters are selected by trial and error or man's experience. Artificial immune system (AIS) can be defined as a soft computing method inspired by theoretical immune system in order to solve science and engineering problems. A multi-objective artificial immune algorithm has been used to optimize the kernel and penalize parameters of SVM in this paper. In training stage of SVM, multiple solutions are found by using multi-objective artificial immune algorithm and then these parameters are evaluated in test stage. The proposed algorithm is applied to fault diagnosis of induction motors and anomaly detection problems and successful results are obtained.","['Ilhan Aydin', 'Mehmet Karakose', 'Erhan Akin']",159,"['080b9dfe-cc45-43a6-a31b-2672e6cfaa79', '1c7aa320-ee89-450e-a0ac-38486cfe8be4', '2e99d827-0a42-4b2d-8968-33dd5790e0a6', '404775ac-d2d2-4a0b-8195-9458da97105b', '4bc18228-707d-45d9-aa1b-354fe31d0d48', '53fc5f59-842d-4b04-9905-de888f66043c', '625fede7-652c-4d6e-a241-a3d3bc657d04', '658121bd-d807-4f8a-9f90-8832975e5c8f', '6e338fa6-1163-497e-991e-14ad8e4ff34c', '8373eff3-9951-4d55-a880-33f85f0ec81d', '948dbb47-d525-4505-8f82-4a3429cc52d8', 'a05376d9-71bf-4e46-8e11-3979652d0796', 'f1bf7842-af5e-4bf1-8c88-1cd32f1f4792', 'ff0b3d75-9c2b-4819-9cc3-3f7e3ebd90f8']",A multi-objective artificial immune algorithm for parameter optimization in support vector machine,soft computing,2011,4ad420d1-1ead-4eef-8468-dbcd28b79d4a
"The popular IEEE 802.11 wireless local area network (WLAN) is based on a carrier sense multiple access with collision avoidance (CSMA/CA), where a station listens to the medium before transmission in order to avoid collision. If there exist stations which can not hear each other, i.e., hidden stations, the potential collision probability increases, thus dramatically degrading the network throughput. The RTS/CTS (request-to-send/clear-to-send) frame exchange is a solution for the hidden station problem, but the RTS/CTS exchange itself consumes the network resources by transmitting the control frames. In order to maximize the network throughput, we need to use the RTS/CTS exchange adaptively only when hidden stations exist in the network. In this letter, a simple but very effective hidden station detection mechanism is proposed. Once a station detects the hidden stations via the proposed detection mechanism, it can trigger the usage of the RTS/CTS exchange. The simulation results demonstrate that the proposed mechanism can provide the maximum system throughput performance","['Youngsoo Kim', 'Jeonggyun Yu', 'Sunghyun Choi', 'Kyunghun Jang']",50,['14b569bb-cf5d-4f06-9bbe-a2f97a6c42cb'],A novel hidden station detection mechanism in IEEE 802.11 WLAN,IEEE Communications Letters,2006,4ad4467f-618c-4936-96fb-dfe2e4b1fe34
